country,longitude,latitude,continent,war,leader,proud,politics,better,tech,trust,jobs
Argentina,-63.616672,-38.416097,South America,42.8,44.6,89.30000000000001,32.4,26.9,47.1,19.2,15.0
Australia,133.775136,-25.274398,Oceania,63.6,27.0,95.6,52.9,21.9,41.9,51.4,6.9
Brazil,-51.92528,-14.235004,South America,46.8,64.8,77.2,37.1,28.4,70.9,7.1,16.8
Chile,-71.542969,-35.675147,South America,41.3,33.199999999999996,92.9,25.3,27.0,50.0,12.4,17.6
China,104.195397,35.86166,Asia,74.2,30.700000000000003,78.6,45.5,47.900000000000006,77.6,60.3,38.0
Colombia,-74.297333,4.570868,South America,71.0,52.699999999999996,96.8,24.7,27.4,76.4,4.1,22.4
Egypt,30.802498,26.820553,Africa,65.4,93.69999999999999,96.5,74.4,86.4,85.6,21.5,83.4
Georgia,43.356892,42.315407,Asia,77.4,53.8,96.1,38.7,55.8,69.2,8.8,46.0
India,78.96288,20.593684,Asia,67.2,56.4,95.2,36.9,52.0,59.4,16.7,52.4
Iraq,43.679291,33.223191,Asia,64.1,33.2,88.8,46.5,79.30000000000001,82.8,30.0,65.2
Japan,138.252924,36.204824,Asia,15.2,29.0,65.30000000000001,65.5,27.599999999999998,70.7,35.9,30.0
Jordan,36.238414,30.585164,Asia,79.8,39.6,98.4,39.4,80.5,82.2,13.2,80.6
Mexico,-102.552784,23.634501,North America,71.8,57.400000000000006,95.2,30.3,23.0,79.4,12.4,16.8
Moldova,28.369885,47.411631,Europe,No data,No data,No data,No data,No data,No data,No data,No data
Morocco,-7.09262,31.791702,Africa,70.8,15.5,91.30000000000001,15.0,57.400000000000006,54.6,12.3,60.6
New Zealand,174.885971,-40.900557,Oceania,43.9,19.700000000000003,89.4,58.5,15.1,40.7,55.3,7.0
Nigeria,8.675277,9.081999,Africa,No data,No data,93.3,56.6,No data,65.8,No data,No data
Pakistan,69.345116,30.375321,Asia,No data,No data,94.4,54.5,No data,58.4,No data,No data
Peru,-75.015152,-9.189967,South America,57.2,54.2,92.80000000000001,26.4,18.9,69.1,8.4,17.6
Philippines,121.774017,12.879721,Asia,No data,No data,97.89999999999999,58.6,No data,73.6,No data,No data
Poland,19.145136,51.919438,Europe,71.4,20.0,94.5,42.4,31.3,79.7,22.2,26.1
Romania,24.96676,45.943161,Europe,65.1,69.69999999999999,82.6,36.8,41.1,71.0,7.7,39.8
Russian Federation,105.318756,61.52401,Europe,52.7,67.0,76.1,32.6,57.3,71.4,27.8,28.3
Serbia,21.005859,44.016521,Europe,No data,No data,No data,No data,No data,No data,No data,No data
Slovenia,14.995463,46.151241,Europe,57.9,23.6,84.80000000000001,39.199999999999996,23.0,63.7,19.9,9.8
South Africa,22.937506,-30.559482,Africa,47.2,56.1,89.5,48.9,51.6,46.9,23.3,30.0
South Korea,127.766922,35.907757,Asia,63.0,48.7,88.9,38.2,43.9,66.6,26.5,32.2
Spain,-3.74922,40.463667,Europe,28.1,39.5,86.5,30.1,15.3,64.8,19.0,12.0
Sweden,18.643501,60.128161,Europe,69.4,26.3,81.6,57.6,10.8,46.3,60.1,2.0
Taiwan,120.960515,23.69781,Asia,81.1,61.5,66.9,27.900000000000002,24.5,70.7,30.3,41.0
Turkey,35.243322,38.963745,Asia,77.5,49.8,91.3,51.099999999999994,68.0,58.6,11.6,59.4
Ukraine,31.16558,48.379433,Europe,40.3,71.3,66.6,33.4,51.9,70.3,23.1,29.5
United States,-95.712891,37.09024,North America,57.7,34.1,86.7,58.9,19.4,48.9,34.8,5.7
Uruguay,-55.765835,-32.522779,South America,49.4,30.900000000000002,92.3,30.4,8.3,61.1,13.8,26.2
