country,longitude,latitude,continent,war,leader,proud,politics,better,tech,trust,jobs
Argentina,-63.616672,-38.416097,South America,55.1,36.0,88.1,18.2,29.2,66.3,15.0,25.4
Australia,133.775136,-25.274398,Oceania,No data,No data,No data,No data,No data,No data,No data,No data
Brazil,-51.92528,-14.235004,South America,No data,No data,No data,No data,No data,No data,No data,No data
Chile,-71.542969,-35.675147,South America,54.4,39.1,92.3,24.9,37.8,53.4,22.2,24.8
China,104.195397,35.86166,Asia,89.9,13.2,78.0,67.5,46.6,89.5,52.5,42.0
Colombia,-74.297333,4.570868,South America,No data,No data,No data,No data,No data,No data,No data,No data
Egypt,30.802498,26.820553,Africa,No data,No data,No data,No data,No data,No data,No data,No data
Georgia,43.356892,42.315407,Asia,No data,No data,No data,No data,No data,No data,No data,No data
India,78.96288,20.593684,Asia,73.7,42.8,87.9,41.4,50.4,56.5,38.9,50.5
Iraq,43.679291,33.223191,Asia,35.2,17.5,93.4,51.599999999999994,86.6,No data,46.1,76.0
Japan,138.252924,36.204824,Asia,15.6,24.3,54.2,62.5,30.5,57.4,39.6,30.2
Jordan,36.238414,30.585164,Asia,No data,37.7,96.3,50.300000000000004,85.60000000000001,92.3,27.1,80.0
Mexico,-102.552784,23.634501,North America,67.4,44.5,93.8,33.4,39.1,65.1,20.8,33.0
Moldova,28.369885,47.411631,Europe,67.4,49.1,61.8,47.400000000000006,56.300000000000004,76.9,14.1,42.9
Morocco,-7.09262,31.791702,Africa,88.0,13.2,96.9,19.2,60.599999999999994,85.1,23.0,86.9
New Zealand,174.885971,-40.900557,Oceania,No data,No data,No data,No data,No data,No data,No data,No data
Nigeria,8.675277,9.081999,Africa,No data,41.0,90.60000000000001,52.6,78.3,84.4,25.3,59.4
Pakistan,69.345116,30.375321,Asia,No data,30.200000000000003,97.30000000000001,29.5,48.1,71.0,28.2,66.1
Peru,-75.015152,-9.189967,South America,76.5,34.9,93.4,47.4,22.599999999999998,75.7,10.6,14.9
Philippines,121.774017,12.879721,Asia,83.5,61.8,97.89999999999999,49.7,62.5,67.8,8.3,69.0
Poland,19.145136,51.919438,Europe,No data,No data,No data,No data,No data,No data,No data,No data
Romania,24.96676,45.943161,Europe,No data,No data,No data,No data,No data,No data,No data,No data
Russian Federation,105.318756,61.52401,Europe,No data,No data,No data,No data,No data,No data,No data,No data
Serbia,21.005859,44.016521,Europe,No data,No data,No data,No data,No data,No data,No data,No data
Slovenia,14.995463,46.151241,Europe,No data,No data,No data,No data,No data,No data,No data,No data
South Africa,22.937506,-30.559482,Africa,58.3,30.6,94.4,50.5,41.3,61.8,11.5,31.1
South Korea,127.766922,35.907757,Asia,74.4,25.6,78.19999999999999,49.8,43.7,68.8,27.3,37.7
Spain,-3.74922,40.463667,Europe,No data,No data,No data,No data,No data,No data,No data,No data
Sweden,18.643501,60.128161,Europe,No data,No data,No data,No data,No data,No data,No data,No data
Taiwan,120.960515,23.69781,Asia,No data,No data,No data,No data,No data,No data,No data,No data
Turkey,35.243322,38.963745,Asia,No data,No data,No data,No data,No data,No data,No data,No data
Ukraine,31.16558,48.379433,Europe,No data,No data,No data,No data,No data,No data,No data,No data
United States,-95.712891,37.09024,North America,No data,No data,No data,No data,No data,No data,No data,No data
Uruguay,-55.765835,-32.522779,South America,No data,No data,No data,No data,No data,No data,No data,No data
